Location,Date,Time  ,CO (mg/m3),SO2(µg/m³),NO2(µg/m³),PM2.5(µg/m³),PM10(µg/m³),Temp(°C),RH (%)
NIT Srinagar,10/06/2022,10:00 AM,0.66 ,2.86 ,4.94 ,18.00 ,27.00 ,32.70 ,76.33 
NIT Srinagar,10/06/2022,10:10 AM,0.68 ,2.86 ,4.92 ,19.00 ,28.00 ,32.40 ,67.32 
NIT Srinagar,10/06/2022,10:20 AM,0.60 ,8.58 ,4.93 ,19.00 ,28.00 ,31.70 ,61.32 
NIT Srinagar,10/06/2022,10:30 AM,0.60 ,5.72 ,4.95 ,19.00 ,27.00 ,31.80 ,54.09 
NIT Srinagar,10/06/2022,10:40 AM,0.46 ,5.72 ,4.89 ,19.00 ,28.00 ,31.90 ,46.87 
NIT Srinagar,10/06/2022,10:50 AM,0.53 ,8.58 ,4.90 ,20.00 ,29.00 ,32.10 ,42.48 
NIT Srinagar,10/06/2022,11:00 AM,0.54 ,11.44 ,4.93 ,20.00 ,29.00 ,32.30 ,43.37 
NIT Srinagar,10/06/2022,11:00 AM,0.59 ,11.44 ,4.86 ,20.00 ,29.00 ,32.40 ,45.35 
NIT Srinagar,10/06/2022,11:10 AM,0.50 ,8.58 ,4.88 ,20.00 ,31.00 ,32.09 ,40.17 
NIT Srinagar,10/06/2022,11:20 AM,0.50 ,8.58 ,4.92 ,21.00 ,31.00 ,32.40 ,41.72 
NIT Srinagar,10/06/2022,11:30 AM,0.49 ,11.44 ,4.88 ,21.00 ,30.00 ,32.80 ,45.07 
NIT Srinagar,10/06/2022,11:40 AM,0.57 ,8.58 ,4.90 ,22.00 ,34.00 ,33.10 ,51.10 
NIT Srinagar,10/06/2022,11:50 AM,0.46 ,8.58 ,4.89 ,21.00 ,37.00 ,33.20 ,57.01 
NIT Srinagar,10/06/2022,12:00 PM,0.42 ,8.58 ,4.89 ,21.00 ,34.00 ,33.20 ,67.55 
NIT Srinagar,10/06/2022,12:10 PM,0.42 ,0.00 ,4.89 ,23.00 ,38.00 ,33.30 ,79.78 
NIT Srinagar,10/06/2022,12:20 PM,0.41 ,14.30 ,4.94 ,22.00 ,37.00 ,33.50 ,82.12 
NIT Srinagar,10/06/2022,12:30 PM,0.19 ,11.44 ,4.96 ,24.00 ,40.00 ,33.07 ,84.15 
NIT Srinagar,10/06/2022,12:40 PM,0.09 ,11.44 ,4.93 ,21.00 ,34.00 ,33.50 ,89.56 
NIT Srinagar,10/06/2022,12:50 PM,0.26 ,14.30 ,4.89 ,22.00 ,32.00 ,33.50 ,90.46 
NIT Srinagar,10/06/2022,1:00 PM,0.24 ,14.30 ,4.93 ,21.00 ,32.00 ,33.70 ,92.29 
NIT Srinagar,10/06/2022,1:10 PM,0.22 ,8.58 ,4.98 ,21.00 ,32.00 ,33.80 ,76.37 
NIT Srinagar,10/06/2022,1:20 PM,0.19 ,8.58 ,4.93 ,21.00 ,35.00 ,33.90 ,58.56 
NIT Srinagar,10/06/2022,1:30 PM,0.09 ,8.58 ,4.95 ,22.00 ,35.00 ,33.70 ,53.06 
NIT Srinagar,10/06/2022,1:40 PM,0.10 ,8.58 ,4.93 ,24.00 ,38.00 ,33.50 ,51.12 
NIT Srinagar,10/06/2022,1:50 PM,0.58 ,11.44 ,4.88 ,24.00 ,42.00 ,33.66 ,49.78 
NIT Srinagar,10/06/2022,2:00 PM,0.78 ,11.44 ,4.90 ,26.00 ,45.00 ,33.50 ,45.29 
NIT Srinagar,10/06/2022,2:10 PM,0.76 ,8.58 ,4.90 ,24.00 ,46.00 ,33.10 ,47.68 
NIT Srinagar,10/06/2022,2:20 PM,0.71 ,5.72 ,4.98 ,23.00 ,43.00 ,33.00 ,52.33 
NIT Srinagar,10/06/2022,2:30 PM,0.70 ,11.44 ,4.92 ,22.00 ,42.00 ,32.70 ,50.59 
NIT Srinagar,10/06/2022,2:40 PM,0.77 ,8.58 ,4.90 ,22.00 ,43.00 ,32.40 ,54.61 
NIT Srinagar,10/06/2022,2:50 PM,0.74 ,11.44 ,4.95 ,23.00 ,43.00 ,32.20 ,60.77 
NIT Srinagar,10/06/2022,3:00 PM,0.98 ,5.72 ,4.92 ,19.00 ,35.00 ,32.00 ,63.32 
NIT Srinagar,10/06/2022,3:10 PM,1.06 ,8.58 ,4.90 ,18.00 ,34.00 ,32.70 ,78.25 
NIT Srinagar,10/06/2022,3:20 PM,1.25 ,11.44 ,4.88 ,19.00 ,29.00 ,34.00 ,81.19 
NIT Srinagar,10/06/2022,3:30 PM,0.09 ,11.44 ,4.88 ,18.00 ,32.00 ,34.10 ,86.03 
NIT Srinagar,10/06/2022,3:40 PM,0.10 ,5.72 ,4.90 ,17.00 ,53.00 ,34.20 ,91.16 
NIT Srinagar,10/06/2022,3:50 PM,0.58 ,8.58 ,4.90 ,16.00 ,40.00 ,32.20 ,93.57 
NIT Srinagar,10/06/2022,4:00 PM,0.78 ,5.72 ,4.89 ,14.00 ,37.00 ,32.50 ,96.76 
NIT Srinagar,10/06/2022,4:10 PM,0.76 ,11.44 ,4.95 ,13.00 ,32.00 ,32.60 ,78.87 
NIT Srinagar,10/06/2022,4:20 PM,0.71 ,8.58 ,4.93 ,13.00 ,32.00 ,32.70 ,66.98 
NIT Srinagar,10/06/2022,4:30 PM,0.70 ,11.44 ,4.93 ,14.00 ,34.00 ,32.60 ,51.72 
NIT Srinagar,10/06/2022,4:40 PM,0.77 ,11.44 ,4.91 ,14.00 ,38.00 ,32.80 ,42.45 
NIT Srinagar,10/06/2022,4:50 PM,0.74 ,8.58 ,4.92 ,13.00 ,42.00 ,33.20 ,40.37 
NIT Srinagar,10/06/2022,5:00 PM,0.72 ,14.30 ,4.94 ,16.00 ,38.00 ,32.70 ,37.89 
NIT Srinagar,11/06/2022,10:00 AM,0.67 ,28.60 ,4.91 ,11.00 ,20.00 ,33.50 ,37.18 
NIT Srinagar,11/06/2022,10:10 AM,0.73 ,20.02 ,4.92 ,11.00 ,21.00 ,33.70 ,36.66 
NIT Srinagar,11/06/2022,10:20 AM,0.71 ,25.74 ,4.89 ,13.00 ,23.00 ,33.50 ,33.89 
NIT Srinagar,11/06/2022,10:30 AM,0.73 ,28.60 ,4.89 ,17.00 ,24.00 ,33.60 ,39.20 
NIT Srinagar,11/06/2022,10:40 AM,0.83 ,14.30 ,4.98 ,17.00 ,29.00 ,33.50 ,47.70 
NIT Srinagar,11/06/2022,10:50 AM,0.87 ,11.44 ,4.87 ,19.00 ,29.00 ,32.60 ,57.29 
NIT Srinagar,11/06/2022,11:00 AM,0.80 ,8.58 ,4.88 ,21.00 ,38.00 ,34.00 ,62.74 
NIT Srinagar,11/06/2022,11:10 AM,0.80 ,8.58 ,4.93 ,23.00 ,38.00 ,34.10 ,74.16 
NIT Srinagar,11/06/2022,11:20 AM,0.41 ,11.44 ,4.89 ,22.00 ,38.00 ,34.20 ,79.51 
NIT Srinagar,11/06/2022,11:30 AM,0.27 ,8.58 ,4.84 ,22.00 ,37.00 ,32.20 ,82.82 
NIT Srinagar,11/06/2022,11:40 AM,0.24 ,11.44 ,4.92 ,16.00 ,22.00 ,32.50 ,86.38 
NIT Srinagar,11/06/2022,11:50 AM,0.25 ,11.44 ,4.94 ,16.00 ,29.00 ,32.60 ,93.06 
NIT Srinagar,11/06/2022,12:00 PM,0.48 ,8.58 ,4.92 ,16.00 ,24.00 ,32.70 ,89.64 
NIT Srinagar,11/06/2022,12:10 PM,0.62 ,8.58 ,4.93 ,17.00 ,24.00 ,32.60 ,56.82 
NIT Srinagar,11/06/2022,12:20 PM,0.59 ,5.72 ,4.93 ,12.00 ,24.00 ,31.40 ,49.17 
NIT Srinagar,11/06/2022,12:30 PM,0.57 ,11.44 ,4.92 ,12.00 ,21.00 ,31.70 ,42.12 
NIT Srinagar,11/06/2022,12:40 PM,0.47 ,11.44 ,4.90 ,14.00 ,22.00 ,31.80 ,39.00 
NIT Srinagar,11/06/2022,12:50 PM,0.47 ,14.30 ,4.89 ,13.00 ,19.00 ,31.90 ,36.70 
NIT Srinagar,11/06/2022,1:00 PM,0.49 ,14.30 ,4.88 ,14.00 ,22.00 ,32.00 ,30.04 
NIT Srinagar,11/06/2022,1:10 PM,0.47 ,14.30 ,4.92 ,18.00 ,34.00 ,32.40 ,33.91 
NIT Srinagar,11/06/2022,1:20 PM,0.88 ,17.16 ,4.92 ,14.00 ,21.00 ,32.40 ,35.19 
NIT Srinagar,11/06/2022,1:30 PM,0.76 ,11.44 ,4.90 ,14.00 ,21.00 ,31.94 ,37.45 
NIT Srinagar,11/06/2022,1:40 PM,0.90 ,14.30 ,4.88 ,12.00 ,19.00 ,32.40 ,41.24 
NIT Srinagar,11/06/2022,1:50 PM,0.81 ,11.44 ,4.89 ,13.00 ,21.00 ,32.80 ,45.72 
NIT Srinagar,11/06/2022,2:00 PM,0.77 ,14.30 ,4.92 ,13.00 ,24.00 ,33.10 ,52.15 
NIT Srinagar,11/06/2022,2:10 PM,0.72 ,14.30 ,4.90 ,14.00 ,25.00 ,33.10 ,68.90 
NIT Srinagar,11/06/2022,2:20 PM,0.71 ,17.16 ,4.91 ,13.00 ,21.00 ,32.90 ,74.93 
NIT Srinagar,11/06/2022,2:30 PM,0.80 ,11.44 ,4.88 ,13.00 ,24.00 ,33.30 ,85.89 
NIT Srinagar,11/06/2022,2:40 PM,0.61 ,14.30 ,4.91 ,13.00 ,29.00 ,33.50 ,91.06 
NIT Srinagar,11/06/2022,2:50 PM,0.57 ,14.30 ,4.89 ,16.00 ,22.00 ,33.01 ,92.37 
NIT Srinagar,11/06/2022,3:00 PM,0.56 ,14.30 ,4.90 ,16.00 ,51.00 ,33.50 ,88.75 
NIT Srinagar,11/06/2022,3:10 PM,0.64 ,17.16 ,4.93 ,11.00 ,21.00 ,33.50 ,56.00 
NIT Srinagar,11/06/2022,3:20 PM,0.64 ,14.30 ,4.93 ,13.00 ,19.00 ,33.70 ,45.65 
NIT Srinagar,11/06/2022,3:30 PM,0.64 ,14.30 ,4.88 ,13.00 ,22.00 ,33.90 ,41.51 
NIT Srinagar,11/06/2022,3:40 PM,1.25 ,17.16 ,4.90 ,12.00 ,21.00 ,33.60 ,39.05 
NIT Srinagar,11/06/2022,3:50 PM,0.55 ,8.58 ,4.89 ,12.00 ,21.00 ,33.70 ,36.45 
NIT Srinagar,11/06/2022,4:00 PM,0.50 ,22.88 ,4.90 ,13.00 ,32.00 ,33.50 ,31.85 
NIT Srinagar,11/06/2022,4:10 PM,0.55 ,17.16 ,4.98 ,21.00 ,34.00 ,33.63 ,28.50 
NIT Srinagar,11/06/2022,4:20 PM,0.55 ,11.44 ,4.90 ,21.00 ,34.00 ,33.50 ,31.41 
NIT Srinagar,11/06/2022,4:30 PM,0.53 ,11.44 ,4.81 ,19.00 ,40.00 ,33.10 ,35.60 
NIT Srinagar,11/06/2022,4:40 PM,0.49 ,14.30 ,4.95 ,19.00 ,35.00 ,33.10 ,38.58 
NIT Srinagar,11/06/2022,4:50 PM,0.52 ,14.30 ,4.94 ,21.00 ,45.00 ,32.70 ,43.87 
NIT Srinagar,11/06/2022,5:00 PM,0.51 ,11.44 ,4.00 ,17.00 ,35.00 ,31.40 ,45.28 
NIT Srinagar,12/06/2022,10:00 AM,0.48 ,8.58 ,4.00 ,27.00 ,34.00 ,31.50 ,69.86 
NIT Srinagar,12/06/2022,10:10 AM,0.97 ,2.86 ,4.93 ,31.00 ,35.00 ,31.60 ,74.52 
NIT Srinagar,12/06/2022,10:20 AM,1.10 ,11.44 ,4.85 ,27.00 ,30.00 ,32.41 ,80.64 
NIT Srinagar,12/06/2022,10:30 AM,1.08 ,8.58 ,4.00 ,29.00 ,33.00 ,32.71 ,81.62 
NIT Srinagar,12/06/2022,10:40 AM,1.13 ,5.72 ,4.86 ,30.00 ,34.00 ,1.40 ,84.73 
NIT Srinagar,12/06/2022,10:50 AM,0.66 ,8.58 ,4.86 ,31.00 ,38.00 ,30.50 ,83.95 
NIT Srinagar,12/06/2022,11:00 AM,0.64 ,11.44 ,4.88 ,39.00 ,37.00 ,30.70 ,54.78 
NIT Srinagar,12/06/2022,11:10 AM,0.64 ,8.58 ,4.00 ,30.00 ,35.00 ,31.00 ,45.56 
NIT Srinagar,12/06/2022,11:20 AM,0.60 ,11.44 ,4.94 ,30.00 ,33.00 ,31.50 ,35.58 
NIT Srinagar,12/06/2022,11:30 AM,1.08 ,5.72 ,4.86 ,26.00 ,38.00 ,31.90 ,33.79 
NIT Srinagar,12/06/2022,11:40 AM,1.31 ,5.72 ,4.92 ,25.00 ,39.00 ,33.80 ,30.02 
NIT Srinagar,12/06/2022,11:50 AM,1.28 ,2.86 ,4.92 ,24.00 ,33.00 ,33.50 ,26.63 
NIT Srinagar,12/06/2022,12:00 PM,1.28 ,11.44 ,4.92 ,22.00 ,31.00 ,31.84 ,39.00 
NIT Srinagar,12/06/2022,12:10 PM,0.63 ,11.44 ,4.92 ,20.00 ,30.00 ,33.50 ,37.20 
NIT Srinagar,12/06/2022,12:20 PM,0.38 ,11.44 ,4.92 ,21.00 ,30.00 ,33.60 ,39.11 
NIT Srinagar,12/06/2022,12:30 PM,0.36 ,11.44 ,4.92 ,21.00 ,30.00 ,33.50 ,37.12 
NIT Srinagar,12/06/2022,12:40 PM,0.78 ,11.44 ,4.92 ,22.00 ,31.00 ,33.80 ,45.88 
NIT Srinagar,12/06/2022,12:50 PM,0.51 ,11.44 ,4.92 ,24.00 ,29.00 ,33.70 ,51.55 
NIT Srinagar,12/06/2022,1:00 PM,0.43 ,11.44 ,4.92 ,25.00 ,28.00 ,33.60 ,61.85 
NIT Srinagar,12/06/2022,1:10 PM,NA,11.44 ,4.92 ,21.00 ,33.00 ,33.90 ,73.06 
NIT Srinagar,12/06/2022,1:20 PM,1.55 ,11.44 ,4.92 ,20.00 ,38.00 ,33.66 ,76.76 
NIT Srinagar,12/06/2022,1:30 PM,0.28 ,5.72 ,4.92 ,19.00 ,36.00 ,33.90 ,81.69 
NIT Srinagar,12/06/2022,1:40 PM,0.49 ,8.58 ,4.92 ,18.00 ,37.00 ,33.80 ,87.68 
NIT Srinagar,12/06/2022,1:50 PM,0.81 ,8.58 ,4.92 ,19.00 ,37.00 ,33.70 ,45.26 
NIT Srinagar,12/06/2022,2:00 PM,0.82 ,8.58 ,4.92 ,19.00 ,33.00 ,34.10 ,37.94 
NIT Srinagar,12/06/2022,2:10 PM,1.25 ,5.72 ,4.92 ,17.00 ,32.00 ,33.90 ,31.61 
NIT Srinagar,12/06/2022,2:20 PM,1.25 ,8.58 ,2.05 ,15.00 ,38.00 ,34.00 ,29.96 
NIT Srinagar,12/06/2022,2:30 PM,1.25 ,11.44 ,2.04 ,17.00 ,31.00 ,34.20 ,24.01 
NIT Srinagar,12/06/2022,2:40 PM,0.86 ,11.44 ,4.90 ,17.00 ,33.00 ,33.94 ,26.20 
NIT Srinagar,12/06/2022,2:50 PM,0.81 ,8.58 ,4.88 ,19.00 ,38.00 ,34.20 ,36.78 
NIT Srinagar,12/06/2022,3:00 PM,0.52 ,11.44 ,4.88 ,21.00 ,39.00 ,34.30 ,46.91 
NIT Srinagar,12/06/2022,3:10 PM,0.42 ,11.44 ,4.90 ,16.00 ,41.00 ,34.40 ,53.60 
NIT Srinagar,12/06/2022,3:20 PM,0.38 ,11.44 ,4.90 ,14.00 ,31.00 ,34.60 ,61.39 
NIT Srinagar,12/06/2022,3:30 PM,1.04 ,8.58 ,4.89 ,16.00 ,32.00 ,34.90 ,65.94 
NIT Srinagar,12/06/2022,3:40 PM,1.06 ,8.58 ,4.95 ,17.00 ,37.00 ,34.90 ,70.38 
NIT Srinagar,12/06/2022,3:50 PM,1.03 ,8.58 ,4.93 ,16.00 ,38.00 ,34.90 ,76.10 
NIT Srinagar,12/06/2022,4:00 PM,0.99 ,11.44 ,4.93 ,16.00 ,32.00 ,34.60 ,77.19 
NIT Srinagar,12/06/2022,4:10 PM,0.53 ,11.44 ,4.91 ,17.00 ,33.00 ,34.90 ,76.58 
NIT Srinagar,12/06/2022,4:20 PM,0.35 ,11.44 ,4.92 ,14.00 ,31.00 ,35.00 ,73.76 
NIT Srinagar,12/06/2022,4:30 PM,0.33 ,11.44 ,4.94 ,16.00 ,29.00 ,35.20 ,42.03 
NIT Srinagar,12/06/2022,4:40 PM,0.34 ,8.58 ,4.91 ,18.00 ,33.00 ,35.50 ,36.55 
NIT Srinagar,12/06/2022,4:50 PM,0.55 ,11.44 ,4.92 ,18.00 ,33.00 ,36.70 ,30.78 
NIT Srinagar,12/06/2022,5:00 PM,0.73 ,11.44 ,4.89 ,14.00 ,33.00 ,38.70 ,25.94 
Kashmir University,13/06/2022,10:00 AM,0.76 ,14.30 ,4.89 ,16.00 ,40.00 ,38.50 ,22.35 
Kashmir University,13/06/2022,10:10 AM,0.75 ,8.58 ,4.98 ,17.00 ,40.00 ,36.36 ,21.96 
Kashmir University,13/06/2022,10:20 AM,0.66 ,11.44 ,4.87 ,18.00 ,40.00 ,38.50 ,23.62 
Kashmir University,13/06/2022,10:30 AM,0.68 ,17.16 ,4.88 ,17.00 ,35.00 ,38.70 ,28.71 
Kashmir University,13/06/2022,10:40 AM,0.69 ,14.30 ,4.93 ,11.00 ,30.00 ,39.50 ,34.99 
Kashmir University,13/06/2022,10:50 AM,0.67 ,20.02 ,4.89 ,12.00 ,35.00 ,38.00 ,40.44 
Kashmir University,13/06/2022,11:00 AM,0.44 ,14.30 ,4.84 ,19.00 ,37.00 ,35.90 ,43.21 
Kashmir University,13/06/2022,11:10 AM,0.36 ,11.44 ,4.92 ,12.00 ,22.00 ,35.50 ,46.46 
Kashmir University,13/06/2022,11:20 AM,0.34 ,11.44 ,4.94 ,19.00 ,30.00 ,35.50 ,51.02 
Kashmir University,13/06/2022,11:30 AM,0.36 ,8.58 ,4.92 ,22.00 ,35.00 ,37.37 ,69.90 
Kashmir University,13/06/2022,11:40 AM,0.47 ,8.58 ,4.93 ,18.00 ,35.00 ,35.50 ,75.05 
Kashmir University,13/06/2022,11:50 AM,0.65 ,11.44 ,4.93 ,12.00 ,21.00 ,35.60 ,78.36 
Kashmir University,13/06/2022,12:00 PM,0.66 ,11.44 ,4.92 ,13.00 ,32.00 ,35.60 ,74.91 
Kashmir University,13/06/2022,12:10 PM,0.66 ,8.58 ,4.90 ,16.00 ,25.00 ,35.20 ,64.56 
Kashmir University,13/06/2022,12:20 PM,0.39 ,8.58 ,4.89 ,17.00 ,29.00 ,35.30 ,44.22 
Kashmir University,13/06/2022,12:30 PM,0.39 ,8.58 ,4.88 ,14.00 ,22.00 ,35.20 ,39.75 
Kashmir University,13/06/2022,12:40 PM,0.37 ,8.58 ,4.92 ,17.00 ,29.00 ,37.00 ,36.22 
Kashmir University,13/06/2022,12:50 PM,0.32 ,8.58 ,4.92 ,18.00 ,37.00 ,37.10 ,37.39 
Kashmir University,13/06/2022,1:00 PM,0.73 ,5.72 ,4.90 ,19.00 ,64.00 ,35.90 ,43.41 
Kashmir University,13/06/2022,1:10 PM,0.92 ,11.44 ,4.88 ,17.00 ,45.00 ,36.00 ,50.31 
Kashmir University,13/06/2022,1:20 PM,0.91 ,0.00 ,4.89 ,21.00 ,51.00 ,36.10 ,53.71 
Kashmir University,13/06/2022,1:30 PM,0.85 ,11.44 ,4.92 ,21.00 ,50.00 ,34.10 ,64.68 
Kashmir University,13/06/2022,1:40 PM,0.58 ,8.58 ,4.90 ,21.00 ,55.00 ,34.40 ,66.52 
Kashmir University,13/06/2022,1:50 PM,0.50 ,11.44 ,4.91 ,18.00 ,32.00 ,34.50 ,68.89 
Kashmir University,13/06/2022,2:00 PM,0.50 ,8.58 ,4.88 ,19.00 ,46.00 ,34.60 ,74.91 
Kashmir University,13/06/2022,2:10 PM,0.56 ,8.58 ,4.91 ,19.00 ,43.00 ,34.50 ,76.71 
Kashmir University,13/06/2022,2:20 PM,0.52 ,8.58 ,4.89 ,21.00 ,48.00 ,35.40 ,65.44 
Kashmir University,13/06/2022,2:30 PM,0.45 ,5.72 ,4.90 ,18.00 ,48.00 ,36.70 ,57.18 
Kashmir University,13/06/2022,2:40 PM,0.50 ,8.58 ,4.93 ,17.00 ,40.00 ,35.40 ,35.67 
Kashmir University,13/06/2022,2:50 PM,0.49 ,8.58 ,4.93 ,14.00 ,32.00 ,35.50 ,34.98 
Kashmir University,13/06/2022,3:00 PM,0.47 ,5.72 ,4.88 ,14.00 ,29.00 ,35.60 ,33.00 
Kashmir University,13/06/2022,3:10 PM,0.52 ,8.58 ,4.90 ,17.00 ,35.00 ,35.70 ,27.25 
Kashmir University,13/06/2022,3:20 PM,0.48 ,5.72 ,4.89 ,16.00 ,34.00 ,35.60 ,27.69 
Kashmir University,13/06/2022,3:30 PM,0.47 ,8.58 ,4.90 ,14.00 ,32.00 ,35.50 ,32.73 
Kashmir University,13/06/2022,3:40 PM,0.63 ,5.72 ,4.98 ,16.00 ,29.00 ,35.80 ,25.81 
Kashmir University,13/06/2022,3:50 PM,0.72 ,17.16 ,4.90 ,17.00 ,40.00 ,35.40 ,24.16 
Kashmir University,13/06/2022,4:00 PM,0.71 ,8.58 ,4.81 ,17.00 ,66.00 ,35.80 ,18.21 
Kashmir University,13/06/2022,4:10 PM,0.52 ,11.44 ,4.95 ,16.00 ,35.00 ,35.70 ,13.60 
Kashmir University,13/06/2022,4:20 PM,0.52 ,11.44 ,4.94 ,17.00 ,37.00 ,35.60 ,14.62 
Kashmir University,13/06/2022,4:30 PM,0.51 ,8.58 ,4.20 ,18.00 ,46.00 ,36.00 ,20.40 
Kashmir University,13/06/2022,4:40 PM,0.51 ,14.30 ,4.20 ,17.00 ,43.00 ,35.80 ,30.98 
Kashmir University,13/06/2022,4:50 PM,1.25 ,8.58 ,4.93 ,18.00 ,27.00 ,35.90 ,41.11 
Kashmir University,13/06/2022,5:00 PM,1.08 ,11.44 ,4.85 ,19.00 ,43.00 ,36.10 ,47.80 
Kashmir University,14/06/2022,10:00 AM,0.71 ,8.58 ,4.30 ,31.00 ,50.00 ,35.40 ,23.37 
Kashmir University,14/06/2022,10:10 AM,0.74 ,5.72 ,4.86 ,35.00 ,42.00 ,36.10 ,27.92 
Kashmir University,14/06/2022,10:20 AM,0.70 ,5.72 ,4.86 ,29.00 ,49.00 ,36.20 ,26.60 
Kashmir University,14/06/2022,10:30 AM,0.69 ,2.86 ,4.88 ,26.00 ,55.00 ,36.40 ,27.80 
Kashmir University,14/06/2022,10:40 AM,0.66 ,2.86 ,4.00 ,32.00 ,66.00 ,36.70 ,32.36 
Kashmir University,14/06/2022,10:50 AM,0.54 ,5.72 ,4.94 ,35.00 ,65.00 ,36.80 ,38.08 
Kashmir University,14/06/2022,11:00 AM,1.25 ,2.86 ,4.86 ,37.00 ,69.00 ,36.80 ,39.17 
Kashmir University,14/06/2022,11:10 AM,0.49 ,5.72 ,4.92 ,36.00 ,71.00 ,36.80 ,38.56 
Kashmir University,14/06/2022,11:20 AM,0.47 ,8.58 ,2.89 ,38.00 ,82.00 ,37.10 ,35.74 
Kashmir University,14/06/2022,11:30 AM,0.52 ,8.58 ,2.88 ,35.00 ,68.00 ,36.80 ,43.87 
Kashmir University,14/06/2022,11:40 AM,0.48 ,8.58 ,2.96 ,24.00 ,59.00 ,36.90 ,36.23 
Kashmir University,14/06/2022,11:50 AM,0.47 ,8.58 ,2.98 ,19.00 ,40.00 ,37.10 ,30.75 
Kashmir University,14/06/2022,12:00 PM,0.63 ,8.58 ,2.98 ,22.00 ,48.00 ,35.50 ,24.98 
Kashmir University,14/06/2022,12:00 PM,0.72 ,8.58 ,2.93 ,22.00 ,48.00 ,36.70 ,20.14 
Kashmir University,14/06/2022,12:10 PM,0.70 ,8.58 ,2.97 ,18.00 ,43.00 ,36.80 ,16.55 
Kashmir University,14/06/2022,12:20 PM,0.69 ,8.58 ,2.97 ,24.00 ,61.00 ,36.60 ,16.16 
Kashmir University,14/06/2022,12:30 PM,0.68 ,8.58 ,3.02 ,18.00 ,48.00 ,36.50 ,17.82 
Kashmir University,14/06/2022,12:40 PM,0.67 ,5.72 ,2.97 ,21.00 ,51.00 ,38.60 ,20.69 
Kashmir University,14/06/2022,12:50 PM,0.66 ,5.72 ,2.97 ,19.00 ,56.00 ,38.30 ,18.05 
Kashmir University,14/06/2022,1:00 PM,1.25 ,8.58 ,3.03 ,19.00 ,46.00 ,36.50 ,22.91 
Kashmir University,14/06/2022,1:10 PM,0.32 ,8.58 ,3.01 ,19.00 ,45.00 ,34.30 ,29.19 
Kashmir University,14/06/2022,1:20 PM,0.11 ,8.58 ,2.97 ,21.00 ,58.00 ,35.90 ,34.64 
Kashmir University,14/06/2022,1:30 PM,0.06 ,8.58 ,3.03 ,21.00 ,53.00 ,35.50 ,37.41 
Kashmir University,14/06/2022,1:40 PM,0.08 ,8.58 ,3.01 ,18.00 ,43.00 ,35.50 ,40.66 
Kashmir University,14/06/2022,1:50 PM,0.34 ,8.58 ,3.00 ,18.00 ,38.00 ,35.40 ,45.22 
Kashmir University,14/06/2022,2:00 PM,0.43 ,8.58 ,2.98 ,18.00 ,51.00 ,35.50 ,57.44 
Kashmir University,14/06/2022,2:10 PM,0.38 ,8.58 ,3.02 ,17.00 ,37.00 ,35.60 ,58.63 
Kashmir University,14/06/2022,2:20 PM,0.42 ,8.58 ,3.02 ,18.00 ,43.00 ,35.60 ,64.10 
Kashmir University,14/06/2022,2:30 PM,0.49 ,8.58 ,3.01 ,16.00 ,51.00 ,35.20 ,69.25 
Kashmir University,14/06/2022,2:40 PM,0.62 ,8.58 ,3.00 ,9.00 ,37.00 ,35.30 ,72.56 
Kashmir University,14/06/2022,2:50 PM,0.00 ,8.58 ,3.00 ,8.00 ,27.00 ,35.20 ,69.11 
Kashmir University,14/06/2022,3:00 PM,0.00 ,8.58 ,2.99 ,9.00 ,34.00 ,35.10 ,58.76 
Kashmir University,14/06/2022,3:10 PM,0.00 ,8.58 ,2.97 ,9.00 ,30.00 ,35.36 ,51.72 
Kashmir University,14/06/2022,3:20 PM,0.00 ,8.58 ,3.00 ,7.00 ,29.00 ,35.98 ,45.10 
Kashmir University,14/06/2022,3:30 PM,1.25 ,0.00 ,2.97 ,7.00 ,29.00 ,36.70 ,38.42 
Kashmir University,14/06/2022,3:40 PM,0.51 ,0.00 ,3.02 ,8.00 ,29.00 ,36.80 ,33.95 
Kashmir University,14/06/2022,3:50 PM,0.54 ,8.58 ,2.96 ,11.00 ,32.00 ,36.60 ,28.62 
Kashmir University,14/06/2022,4:00 PM,0.53 ,8.58 ,2.99 ,9.00 ,30.00 ,36.50 ,29.42 
Kashmir University,14/06/2022,4:10 PM,0.50 ,11.44 ,3.00 ,11.00 ,42.00 ,38.60 ,30.42 
Kashmir University,14/06/2022,4:20 PM,0.58 ,11.44 ,2.99 ,12.00 ,34.00 ,38.30 ,31.59 
Kashmir University,14/06/2022,4:30 PM,0.57 ,14.30 ,3.02 ,11.00 ,35.00 ,36.50 ,37.61 
Kashmir University,14/06/2022,4:40 PM,0.59 ,11.44 ,3.00 ,11.00 ,37.00 ,34.30 ,44.51 
Kashmir University,14/06/2022,4:50 PM,0.57 ,14.30 ,3.01 ,9.00 ,27.00 ,35.90 ,47.91 
Kashmir University,14/06/2022,5:00 PM,0.58 ,5.72 ,3.02 ,9.00 ,40.00 ,35.50 ,58.88 
Kashmir University,15/06/2022,10:00 AM,0.61 ,11.44 ,3.01 ,17.00 ,31.00 ,33.60 ,65.01 
Kashmir University,15/06/2022,10:10 AM,0.56 ,14.30 ,3.02 ,18.00 ,32.00 ,33.70 ,66.22 
Kashmir University,15/06/2022,10:20 AM,0.60 ,8.58 ,2.99 ,19.00 ,35.00 ,33.80 ,60.72 
